id,occurrence_year,bias_type,neighbourhood_158
1,2018,Religion,Forest Hill North (102)
2,2018,Religion,Mount Pleasant East (99)
3,2018,Race,Annex (95)
4,2018,Religion,Rustic (28)
5,2018,Religion,Bay-Cloverhill (169)
6,2018,Religion,Oakdale-Beverley Heights (154)
7,2018,Race,Moss Park (73)
8,2018,Religion,Forest Hill North (102)
9,2018,Sex,Weston (113)
10,2018,Religion,University (79)
12,2018,Sex,Downtown Yonge East (168)
14,2018,Religion,Yonge-Eglinton (100)
15,2018,Gender,Mimico-Queensway (160)
16,2018,Religion,Kensington-Chinatown (78)
17,2018,Religion,Old East York (58)
18,2018,Religion,Oakdale-Beverley Heights (154)
19,2018,Ethnicity,Moss Park (73)
22,2018,Ethnicity,York University Heights (27)
23,2018,Race,York University Heights (27)
25,2018,Religion,Westminster-Branson (35)
26,2018,Religion,South Parkdale (85)
27,2018,Religion,Yonge-Bay Corridor (170)
28,2018,Race,York University Heights (27)
29,2018,Religion,Wychwood (94)
30,2018,Religion,Rockcliffe-Smythe (111)
31,2018,Religion,Humber Summit (21)
32,2018,Ethnicity,Edenbridge-Humber Valley (9)
33,2018,Gender,Church-Wellesley (167)
34,2018,Race,Moss Park (73)
35,2018,Gender,Downtown Yonge East (168)
36,2018,Religion,Kensington-Chinatown (78)
37,2018,Gender,Church-Wellesley (167)
38,2018,Gender,Yonge-Bay Corridor (170)
39,2018,Religion,York University Heights (27)
40,2018,Race,Moss Park (73)
42,2018,Religion,Edenbridge-Humber Valley (9)
43,2018,Religion,Lawrence Park South (103)
45,2018,Sex,Humewood-Cedarvale (106)
46,2018,Ethnicity,Highland Creek (134)
47,2018,Religion,North Toronto (173)
49,2018,Religion,Church-Wellesley (167)
50,2018,Race,Victoria Village (43)
51,2018,Religion,Eglinton East (138)
52,2018,Religion,Englemount-Lawrence (32)
53,2018,Sex,West Humber-Clairville (1)
54,2018,Religion,Wychwood (94)
56,2018,Religion,Greenwood-Coxwell (65)
57,2018,Religion,Annex (95)
62,2018,Religion,Flemingdon Park (44)
63,2018,Ethnicity,Newtonbrook East (50)
64,2018,Religion,Yonge-Bay Corridor (170)
65,2018,Sex,Wellington Place (164)
66,2018,Sex,Downtown Yonge East (168)
68,2018,Religion,East End-Danforth (62)
69,2018,Race,Kensington-Chinatown (78)
70,2018,Religion,Downtown Yonge East (168)
71,2018,Religion,St Lawrence-East Bayfront-The Islands (166)
72,2018,Ethnicity,East Willowdale (152)
73,2018,Religion,Bathurst Manor (34)
74,2018,Religion,St Lawrence-East Bayfront-The Islands (166)
